Offer SKU,Product SKU,Category code,Category Label,Product,Offer state,Price,Quantity,Alert threshold,Logistic Class,Activated,Available Start Date,Available End Date
FINDSNB19392,MKL_1894952_127,sports & outdoors > winter sports > snowboards,Snowboards,Silk Snowboard Swivel Rocker Sidewall 142cm,New,349.00,1,,SMW,yes,,
FINDSNB19342,MKL_1894952_156,sports & outdoors > winter sports > snowboards,Snowboards,Sabrina Snowboard Rusy Camber Sidewall 145cm,New,349.00,1,,SMW,yes,,
FINDSNB19367,MKL_1894933_123,sports & outdoors > winter sports > snowboards,Snowboards,Lamar Snowboard Merlot Flat Capped 144cm,New,299.00,0,,SMW,no,,
FINDSNB19417,MKL_1894933_100,sports & outdoors > winter sports > snowboards,Snowboards,LTD Snowboard Geo Flat Capped 140cm,New,299.00,4,,SMW,yes,,
FINDSNB19433,MKL_1894933_101,sports & outdoors > winter sports > snowboards,Snowboards,Sabrina Snowboard Flyer -  Flat Sidewall 139cm - Black,New,289.00,2,,SMW,yes,,
FINDSKI031,MKL_1894892_331,sports & outdoors > winter sports > skis,Skis,house Lady  176cm Womens Powder/Freeride/All Mountain Ski - Blue,New,149.00,0,,SMW,no,,
FINDSNB19443,MKL_1894933_64,sports & outdoors > winter sports > snowboards,Snowboards,Felice Snowboard snowboards Camber Capped 138cm,New,249.00,0,,SMW,no,,
FINDSNB19179,MKL_1894708_127,sports & outdoors > winter sports > snowboards,Snowboards,Five Forty Snowboard Remix Camber Capped 154cm,New,299.00,0,,SMW,no,,
FINDSNB19303,MKL_1894708_70,sports & outdoors > winter sports > snowboards,Snowboards,Sims Snowboard Wrath  Flat Capped 148cm - Red,New,299.00,0,,SMW,no,,
FINDSNB19460,MKL_1894708_1,sports & outdoors > winter sports > snowboards,Snowboards,Skate Wars Snowboard Flat Sidewall 136cm,New,289.00,1,,SMW,yes,,
FINDSNB19477,MKL_1894933_66,sports & outdoors > winter sports > snowboards,Snowboards,Snowjam Snowboard Dynamite  Flat Capped 110cm - Black,New,249.00,3,,SMW,yes,,
FINDSKI19040,MKL_1894708_220,sports & outdoors > winter sports > skis,Skis,Five Forty Snow Skis Reverse Rocker Sidewall 145cm,New,399.00,1,,SMW,yes,,
FINDSNB19310,MKL_1894933_58,sports & outdoors > winter sports > snowboards,Snowboards,WR Snowboard M Triple Rocker Sidewall 148cm,New,349.00,1,,SMW,yes,,
FINDSNB193,MKL_1894933_45,sports & outdoors > winter sports > snowboards,Snowboards,Vive Tag 157cm Wide Freestyle Snowboard S-Rocker,New,249.00,0,,SMW,no,,
FINDSNB19274,MKL_1894708_51,sports & outdoors > winter sports > snowboards,Snowboards,Savander Snowboard Lowl Camber Sidewall 150cm,New,349.00,3,,SMW,yes,,
FINDSKI19005,MKL_1894933_28,sports & outdoors > winter sports > skis,Skis,Five Forty Snow Skis Sound Camber Sidewall 125cm,New,299.00,1,,SMW,yes,,
FINDSNB19371,MKL_1894933_119,sports & outdoors > winter sports > snowboards,Snowboards,Savander Snowboard FM Camber Sidewall 143cm,New,349.00,2,,SMW,yes,,
9321977695497,MKL_1894530_151,apparel & footwear > swimwear > bikinis,Bikinis,Ocean & Earth Ladies Paradiso Bikini Graphite - Graphite Variant Size Value 16US,New,84.95,0,,SMW,no,,
9321977695442,MKL_1866207_175,apparel & footwear > swimwear > bikinis,Bikinis,Ocean & Earth Ladies Paradiso Bikini Graphite - Graphite Variant Size Value 6US,New,84.95,0,,SMW,no,,
FINDSRF18018,MKL_1866324_97,sports & outdoors > water sports > surf > surfboards,Surfboards,"Force 7'6"" Ecoflex Epoxy Bamboo Minimal Surfboard",New,539.00,3,,SMW,yes,,
YM21833,MKL_1199733_132,sports & outdoors > fishing > fishing tools > fishing knives & sharpeners,Fishing Knives & Sharpeners,"Muela Venecia Bowie - Hunting Fishing Knife 28cm - Pakkawood handle, Leather Sheath",New,139.95,17,,SMW,yes,,
FINDSRFB18002,MKL_1866131_80,sports & outdoors > water sports > surf > surfboards,Surfboards,6'6'' FIND Duralite Funboard Surfboard Cover,New,65.00,40,,SMW,yes,,
FIND19FUNPROGR,MKL_1894708_29,sports & outdoors > water sports > boards,Boards,FIND Kneeboard FunPro Carver - Green,New,139.00,13,,SMW,yes,,
FINDSRFB18003,MKL_1891778_16,sports & outdoors > water sports > surf > surfboards,Surfboards,7'0'' FIND Duralite Funboard Surfboard Cover,New,71.00,58,,SMW,yes,,
FINDSRFD03PACK,MKL_1891821_261,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND 7'0"" Quadfish Duralite Surfboard + Cover + Leash Package",New,449.00,7,,SMW,yes,,
FIND19SRFQFWBl66,MKL_1866263_26,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND Quadfish Duralite 6'6""  Streaked Surfboard - Black",New,409.00,1,,SMW,yes,,
FIND18FLUSHBB,MKL_1893398_73,sports & outdoors > water sports > boards,Boards,Flush Spark Kneeboard - Black,New,109.00,0,,SMW,no,,
RU008-ACM-L,MKL_1866295_216,apparel & footwear > apparel > coats & jackets,Coats & Jackets,XTM Adult Unisex Active Jackets Stash Ii Unisex Rain Jacket Army - Camo Variant Size Value Large,New,67.95,44,,SMW,yes,,
FINDSRF18013,MKL_1866131_89,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND 7'0"" Quadfish Duralite Surfboard",New,399.00,7,,SMW,yes,,
FINDSRFD01PACK,MKL_1866131_68,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND 6'6"" Quadfish Duralite Surfboard + Cover + Leash Package",New,439.00,2,,SMW,yes,,
FINDSRF18012,MKL_1891778_5,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND 6'6"" Quadfish Duralite Surfboard",New,389.00,2,,SMW,yes,,
FIND19FUNPROOR,MKL_1895013_259,sports & outdoors > water sports > boards,Boards,FIND Kneeboard FunPro Carver - Orange,New,139.00,11,,SMW,yes,,
RU008-ACM-XL,MKL_1870652_169,apparel & footwear > apparel > coats & jackets,Coats & Jackets,XTM Adult Unisex Active Jackets Stash Ii Unisex Rain Jacket Army - Camo Variant Size Value X-Large,New,67.95,16,,SMW,yes,,
RU008-ACM-S,MKL_1870652_170,apparel & footwear > apparel > coats & jackets,Coats & Jackets,XTM Adult Unisex Active Jackets Stash Ii Unisex Rain Jacket Army - Camo Variant Size Value Small,New,67.95,22,,SMW,yes,,
FIND19SRFBzWBl510,MKL_1866324_60,sports & outdoors > water sports > surf > surfboards,Surfboards,"FIND Blitz Polytec 5'10""  Streaked Surfboard - Black",New,419.00,9,,SMW,yes,,
190540684140,MKL_1530906_4865,apparel & footwear > footwear > boots,Boots,Sorel Cheyanne Ii Waterproof Suede Boot Variant Size Value 9.5US,New,216.95,0,,SMW,no,,
9321977700931,MKL_1871577_7,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Champiette Cap/S Rashie - White Variant Size Value 14,New,44.95,5,,SMW,yes,,
9321977712460,MKL_1871577_60,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Jacked 19"" Walkshort Light Grey - LightGrey Variant Size Value 38US",New,51.95,13,,SMW,yes,,
9321977702287,MKL_1974171_6,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Cali Cruise L/S Crop Rash Top - Black Variant Size Value 14US,New,50.95,1,,SMW,yes,,
9321977700900,MKL_1870604_182,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Champiette Cap/S Rashie - White Variant Size Value 8,New,44.95,20,,SMW,yes,,
9321977702348,MKL_1871577_41,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Mini Crop Rash Singlet - Black Variant Size Value 14US,New,34.95,5,,SMW,yes,,
9321977720434,MKL_1871577_30,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Reef 19"" Boardshort Multi - C-Multi Variant Size Value 30",New,53.95,11,,SMW,yes,,
9321977713979,MKL_1871577_29,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Men's Jacked 21"" Walkshort Light Grey - LightGrey Variant Size Value 42US",New,53.95,12,,SMW,yes,,
9321977702249,MKL_1871577_49,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Cali Cruise L/S Crop Rash Top - Black Variant Size Value 6US,New,40.95,11,,SMW,yes,,
9321977713962,MKL_1871577_64,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Men's Jacked 21"" Walkshort Light Grey - LightGrey Variant Size Value 40US",New,53.95,11,,SMW,yes,,
9321977702300,MKL_1870604_183,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Mini Crop Rash Singlet - Black Variant Size Value 6US,New,34.95,15,,SMW,yes,,
9321977702256,MKL_1866187_40,apparel & footwear > swimwear > rash vests,Rash Vests,Ocean & Earth Ladies Cali Cruise L/S Crop Rash Top - Black Variant Size Value 8US,New,40.95,15,,SMW,yes,,
9321977720335,MKL_1871588_6,apparel & footwear > apparel > shorts,Shorts,Ocean & Earth Mens Calypso 20' Boardshort Multi - D-Multi Variant Size Value 36,New,47.95,24,,SMW,yes,,
9321977720809,MKL_1871577_15,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Bombora 19"" Wavewalker Short - Olive Variant Size Value 33US",New,53.95,16,,SMW,yes,,
9321977725996,MKL_1866207_300,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Vortex 19"" Wavewalker Short Charcoal - A-Charcoal Variant Size Value 36US",New,53.95,29,,SMW,yes,,
9321977720120,MKL_1871588_35,apparel & footwear > apparel > shorts,Shorts,Ocean & Earth Mens Cabo 20' Boardshort Multi - A-Multi Variant Size Value 36,New,47.95,13,,SMW,yes,,
9321977720618,MKL_1871577_12,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Tropicana 19"" Boardshort Multi",New,53.95,17,,SMW,no,,
9321977720441,MKL_1871588_5,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Reef 19"" Boardshort Multi - C-Multi Variant Size Value 32",New,53.95,13,,SMW,yes,,
9321977720366,MKL_1871577_11,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Oasis 19"" Boardshort Multi - A-Multi Variant Size Value 30",New,53.95,9,,SMW,yes,,
9321977720625,MKL_1871577_66,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Tropicana 19"" Boardshort Multi - F-Multi Variant Size Value 36",New,53.95,25,,SMW,yes,,
9321977720373,MKL_1871577_40,apparel & footwear > apparel > shorts,Shorts,"Ocean & Earth Mens Oasis 19"" Boardshort Multi - A-Multi Variant Size Value 32",New,53.95,9,,SMW,yes,,
